First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,45Miss,45Shots,45Blkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBA,TmSHBF,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Brandon,Dubinsky,CBJ,C/LW,75,0,0,0,0,0,0,0,5,4,4,5,3,0.0%,0.0%,2,5,0,1,7,8935,1.99,146.4,1.95,260.6,3.47,36.0%,99,85,53.8%,0,19,10,98,10,55,4,59,13,121,9.7%,-3.0,1,2,-39.8,2.7,-5.3
Matt,Duchene,COL,C,76,0,0,0,0,0,0,0,3,0,0,3,0,0.0%,0.0%,0,1,0,0,0,900,0.20,15.0,0.20,373.0,4.91,3.9%,12,9,57.1%,0,1,4,7,2,6,1,4,4,4,50.0%,38.3,0,0,-20.0,22.2,15.0
Anthony,Duclair,ARI,LW/RW,81,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,34,0.01,0.0,0.00,495.4,6.12,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,1,1,0.0,,
Matt,Dumba,MIN,D,81,0,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.0%,0,0,1,0,0,756,0.16,9.9,0.12,313.1,3.86,3.1%,0,0, ,0,2,2,5,0,1,0,2,1,3,25.0%,16.0,0,1,-24.3,11.1,6.8
Brian,Dumoulin,PIT,D,79,0,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.0%,9,3,2,2,3,6158,1.30,97.6,1.24,286.7,3.63,25.4%,0,0, ,1,9,17,78,5,31,3,33,16,82,16.3%,3.5,0,2,-40.0,8.0,3.0
Pascal,Dupuis,PIT,RW/LW,18,0,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.0%,3,0,1,1,2,2618,2.42,44.3,2.46,51.0,2.83,46.5%,2,1,66.7%,0,4,4,33,0,16,1,19,1,34,2.9%,-7.9,0,0,-42.0,4.8,4.8
Ryan,Dzingel,OTT,LW/C,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,192,0.11,3.3,0.11,140.9,4.70,2.3%,0,0, ,0,0,0,3,0,2,0,1,0,3,0.0%,-18.8,0,0,-72.5,0.0,-6.9
Dave,Dziurzynski,OTT,LW,14,0,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.0%,0,1,0,0,0,185,0.22,3.3,0.23,64.5,4.61,4.8%,0,0, ,0,0,1,2,1,0,1,2,3,3,50.0%,44.3,0,0,18.3,66.7,63.9
Cody,Eakin,DAL,C,82,3,1,4,2,1,0,6,9,2,2,6,3,33.3%,18.2%,4,2,3,4,5,7714,1.57,121.1,1.48,278.3,3.39,30.3%,45,54,45.5%,3,15,14,98,6,58,5,42,23,104,18.1%,3.4,0,1,-55.0,5.8,-1.7
Patrick,Eaves,DAL,RW/LW,54,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,2,0,1,0,0,1023,0.32,14.6,0.27,238.7,4.42,5.7%,1,2,33.3%,0,1,4,6,0,5,0,9,3,9,25.0%,10.0,0,0,4.1,33.3,27.0
Jordan,Eberle,EDM,RW,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,105,0.03,1.1,0.02,364.6,5.28,0.3%,0,0, ,0,0,0,2,0,0,0,0,0,2,0.0%,-8.1,0,0,-110.1,,
Alexander,Edler,VAN,D,52,0,0,0,0,0,0,0,1,0,0,1,1,0.0%,0.0%,22,9,2,3,1,8057,2.58,131.9,2.54,133.2,2.56,49.8%,0,0, ,0,19,12,116,3,40,4,56,12,132,8.3%,-9.3,1,1,-49.1,3.8,-0.3
Joel,Edmundson,STL,D,67,0,0,0,0,0,0,0,0,0,0,0,1,0.0%,0.0%,11,8,0,3,0,4434,1.10,68.9,1.03,312.2,4.66,18.1%,0,0, ,1,3,9,44,1,27,4,26,8,54,12.9%,1.7,0,1,-35.7,9.8,4.5
