"","name","AGE","cap_hit","GP","plusminus","Eplusminus","PIM","OTG","GWG","NPD","xGF","xGA","Grit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOIGP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI","stars"
"193","Patrick Wiercioch",26,650000,57,-18,-12.8,23,0,0,-2.3,29.9,42.3,133,4,8,3,12,66.7,5.2,969,50.1,57.2,46.7,-0.8,2.1,2,122,76,56,0,3,3,110.5,44,50,15,5,52,0,100,667,762,489,591,61,103,0,0,0,0,3164,0.96,68,4.3,94,6.5,0,0,0,4840,1.43,12.5,71.1,15,4.8,0,4,161,3,19,22,2383.4,13.5,4,15,19,293.5,3,2,54.7,1
"195","Michael Del Zotto",27,3e+06,51,-5,1.9,28,0,0,2.9,40.9,40.6,286,6,10,5,16,47.1,8.1,996,58.8,55.8,51.3,2.8,3.7,7,154,105,73,2,5,7,122.1,152,76,24,9,67,0,0,829,789,596,562,119,110,0,1,0,1,2926,1,67.5,17.3,79.6,-9.3,0,1,1,3916,1.3,5.3,77.1,6.5,-4.8,0,7,183,14,32,46,3146.4,2.5,2,12,14,257.8,34,29,263.1,1
"198","Matt Hunwick",32,2250000,72,8,-0.3,18,0,0,-1.6,51.5,66.6,199,1,18,9,19,44.2,8.4,1015,55.3,56.6,49.4,-1.2,2.7,3,167,105,67,1,10,11,208.7,79,106,35,18,62,0,0,996,1015,751,746,159,148,0,0,0,0,241,0.09,19.2,9.6,66.7,-14.8,0,0,0,11500,2.6,13,100.2,11.5,1.3,8,27,116,4,13,17,1898,11.5,0,4,4,38.9,32,20,238,1
"206","David Warsofsky",27,675000,7,-3,-1,6,0,0,-1.4,5,7.4,21,0,1,1,1,25,7.3,970,63.9,65.3,49.5,-0.5,0.4,0,28,20,11,0,1,1,25.8,1,3,1,2,12,0,0,102,106,76,78,11,21,0,0,0,0,384,0.97,74.1,34.7,68.1,-14.5,0,0,0,343,0.87,29.1,106.6,21.4,-5.8,0,0,32,1,2,3,462.3,30.8,1,1,2,69.1,0,0,6,0
"207","Matt Tennyson",27,650000,45,-13,-5.6,6,0,0,0.9,23.3,32.2,119,0,6,4,6,31.6,7.4,963,51.9,57.9,47.3,-2.4,1.3,1,80,48,35,3,5,8,104.6,65,98,11,11,46,0,0,497,561,358,424,74,102,0,0,0,0,121,0.07,96.3,0,100,8.1,0,0,0,829,0.33,24,95.8,20,7.7,0,2,56,1,7,8,676.3,-11.5,2,1,3,80.3,3,4,11.7,1
"210","Cam Fowler",25,6500000,80,7,5.4,20,0,3,5.2,107.2,94.4,183,5,17,8,22,38.9,8.4,1008,54,54.9,49.6,1.9,4.6,7,209,140,99,2,5,7,184.2,27,118,51,20,92,0,0,1303,1320,983,986,215,179,5,10,2,15,14888,3.02,113,14.5,88.6,-0.2,1,1,2,13232,2.73,12.7,102.2,11.1,-3.9,6,27,219,8,46,54,3736.2,-3,8,33,41,635.7,62,20,474,12
"211","Marc-Edouard Vlasic",30,7e+06,75,4,0.6,35,1,2,5,60.1,65,200,5,15,9,20,42.6,8.9,1007,51,54.8,48.2,-2.9,4.7,11,237,161,108,3,4,7,198.8,17,97,45,19,115,0,0,1051,1130,766,765,141,135,1,6,3,7,8663,1.92,84.8,10,89.4,1.6,0,1,1,9351,2.06,9.5,114,7.7,-3.1,1,22,218,19,49,68,3906.7,28.4,2,12,14,270.6,78,9,489.1,3
"212","Patrik Nemeth",25,945000,40,-4,2.5,14,0,0,-1.1,26.1,29.7,106,0,3,2,3,16.7,5.9,986,56.5,56.9,49.8,0.4,2.3,5,88,59,45,3,3,6,61.1,43,51,17,10,44,0,0,548,553,411,398,81,77,0,0,0,0,98,0.06,76.6,25.5,75,-12.1,0,0,0,2450,1.03,10.2,110.4,8.4,-3.1,0,3,68,0,10,10,979.4,8.9,0,1,1,4.5,7,6,69.8,0
"216","Kyle Quincey",31,1250000,73,4,-6,51,0,0,-10.2,46.3,67.4,246,6,9,4,15,41.7,7,999,48.3,55,46.7,0.5,2.8,4,151,89,72,2,1,3,100,88,69,33,14,80,0,0,912,1041,689,777,131,153,0,0,0,0,1158,0.29,66.7,4.4,93.8,5,0,0,0,8014,1.87,9.6,95.4,9.2,2.1,3,15,202,11,30,41,3505.4,1.9,0,0,0,41.9,51,31,460,3
"218","Erik Burgdoerfer",28,650000,2,-1,0.6,0,0,0,0.1,1.3,0.8,5,0,0,0,0,0,0,889,54.3,55.9,49.3,5.5,0,0,3,3,2,0,0,0,0,5,2,1,0,0,0,0,21,21,19,14,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222","Alex Petrovic",25,1850000,49,-1,-1.9,79,0,0,-10,33.1,40.3,243,1,13,5,14,46.7,7.3,990,53.2,51.7,50.7,3.5,1.7,0,106,79,52,1,1,2,118.8,103,68,22,15,49,0,0,711,690,567,540,97,114,0,0,0,0,326,0.16,39,13.3,74.6,-19.3,0,0,0,3865,1.33,13.3,81.1,14.1,-3.7,1,4,106,2,18,20,1558.5,-16.9,0,0,0,13.5,13,9,131.3,0
"223","Michael Stone",27,3500000,64,0,-13.1,32,0,0,-0.8,47.1,63.9,300,2,8,5,10,29.9,7.9,1018,48,62.9,43.3,-4.7,2.2,0,150,98,62,4,1,5,124,114,86,20,3,106,1,100,830,1086,605,811,125,168,1,4,1,5,4980,1.3,68,13.1,83.9,-5.8,0,0,0,6977,1.78,17.1,98.3,14.8,-2,1,31,226,15,34,49,3783.7,-8.7,2,23,25,379.1,81,21,397.1,1
"224","Dmitry Orlov",25,5100000,82,30,6.5,51,0,0,-2.5,72.7,61.6,268,5,22,14,27,37.5,9.7,1026,58.6,49.2,54.3,6.5,5.4,7,216,147,111,3,9,12,274.5,112,82,47,30,89,0,0,1412,1190,1038,899,206,198,1,5,3,6,5605,1.2,86.2,11.3,88.4,-0.6,0,0,0,1188,0.3,21.6,57.5,27.3,12.8,0,1,136,11,26,37,2258.7,10,0,3,3,52,0,2,30.6,4
"229","Brendan Smith",28,4350000,51,1,-0.3,63,0,1,-0.4,38.1,46.8,190,2,4,4,6,20.7,7.7,1005,50.6,52,49.3,3.5,2.7,6,106,74,49,1,7,8,94.4,48,72,31,10,55,0,0,683,708,524,539,104,123,1,2,2,3,2719,0.91,104.3,15.4,87.2,-0.8,0,0,0,5732,1.88,12.2,83.6,12.7,-3.1,1,10,210,10,33,43,3431.5,31.9,2,2,4,67,25,15,213.7,1
"230","Dylan McIlrath",25,650000,6,-2,-1.7,14,0,0,-2.7,1.4,2.7,35,1,0,0,1,100,6.7,960,40.2,55.9,41.8,-8,0.1,0,11,6,3,0,0,0,0,15,4,3,1,4,0,0,37,52,27,42,4,9,0,0,0,0,0,0.03,0,0,0,-88.9,0,0,0,66,0.22,0,44,0,-28.6,0,0,37,2,2,4,469.7,72.6,0,0,0,1.2,3,1,25.6,0
"231","Brian Lashoff",26,650000,5,-3,0.7,0,0,0,0.3,2.5,1.9,12,0,0,0,0,0,3.7,847,50.4,38,57,8.3,0.1,0,5,2,1,0,0,0,0,8,7,1,0,4,0,0,51,38,37,28,9,7,0,0,0,0,0,0.06,0,0,0,-88.5,0,0,0,220,0.55,28.7,57.4,33.3,25.6,0,0,86,1,7,8,1035.9,1.5,0,0,0,0.9,39,7,188.9,0
"232","Jaycob Megna",24,650000,1,1,-0.1,0,0,0,0.1,0.7,0.8,0,0,0,0,0,0,16.7,1167,55,66.9,45.1,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,7,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0.98,0,61.2,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235","Chris Butler",30,650000,1,0,-0.6,0,0,0,0.1,0.3,1.1,2,0,0,0,0,0,20,1117,39.3,67.5,36.8,-8.8,0,0,3,1,1,0,0,0,0,0,1,1,0,2,0,0,12,21,7,18,0,4,0,0,0,0,17,0.58,0,0,0,-93.8,0,0,0,95,1.6,0,37.2,0,0,0,0,120,4,19,23,2003.5,-39.5,0,0,0,40.8,24,10,232.9,0
"240","Eric Gryba",29,9e+05,40,-5,-2.5,65,0,2,-11.1,25.5,32.5,262,2,4,3,6,35.3,5.5,982,57.5,52.7,52.2,3.8,2.1,7,101,64,45,1,3,4,98.9,131,50,20,5,38,0,0,564,518,407,390,88,95,0,0,0,0,48,0.03,0,0,0,-87.9,0,0,0,3146,1.33,6.7,92.3,6.8,-5.2,1,5,185,3,25,28,2614.1,-6.2,0,0,0,11.8,42,62,484,2
"248","Taylor Fedun",29,650000,27,3,0,16,0,0,-4.9,15.2,13.3,43,0,4,2,4,33.3,7.8,1024,56.4,49,53.5,6.1,0.7,0,37,26,19,0,3,3,50.6,7,23,9,5,20,0,0,305,263,217,201,29,40,0,3,0,3,1950,1.28,78.3,10.2,88.5,-2.8,0,0,0,9,0.04,0,0,0,-10,0,0,12,2,3,5,166.6,-33,0,2,2,11.1,1,0,6.8,2
"252","Esa Lindell",23,2200000,73,8,-4.1,22,1,2,4.5,67.9,84,234,6,10,4,16,30.8,8.3,1014,55.1,57.9,48.8,-2.2,3.4,6,176,116,80,4,7,11,92.9,87,95,42,27,100,0,0,1210,1275,876,927,173,198,0,2,1,2,4563,1.06,80.3,12.4,86.6,-4.6,0,0,0,8879,1.99,14.6,96.4,13.2,1.4,3,13,4,0,0,0,55.6,3.2,0,0,0,0,0,0,1.7,5
"255","Gustav Olofsson",22,725000,13,-1,1.8,2,0,0,-0.1,10.2,5.6,28,0,2,0,2,33.3,7.3,977,51.8,61.7,45.7,-2.5,0.4,1,20,12,6,1,1,2,0,10,16,1,3,15,0,0,141,168,109,108,26,19,0,1,0,1,504,0.67,122,13.6,90,4.6,0,0,0,47,0.12,0,0,0,-25.9,0,0,2,0,0,0,18.6,-6.5,0,0,0,0,0,0,0,1
"256","Andrej Sustr",26,1950000,80,-10,-4.8,43,0,1,-12.9,46.6,64.8,191,3,11,5,14,37.8,6.3,986,52.7,54.9,49,0.2,3.3,6,159,115,89,2,6,8,144.5,41,97,40,13,70,0,0,1068,1115,817,846,108,127,0,0,0,0,431,0.11,23,17.9,56.2,-34.5,0,0,0,10012,2.13,9.1,97,8.6,-2.2,5,30,192,5,34,39,2903.7,2.2,0,1,1,17.7,28,8,295.7,1
"257","Korbinian Holzer",29,9e+05,32,0,-2.9,23,0,0,-3,13.6,17.2,129,2,5,2,7,50,9.6,1024,40.1,59,40.5,-7.8,0.9,3,36,23,14,1,1,2,38.6,65,47,10,1,30,0,0,269,395,206,288,39,41,0,0,0,0,64,0.05,0,0,0,-85.7,0,0,0,1651,0.92,21,73.4,22.3,6.8,2,4,63,0,9,9,892.7,-12.4,0,0,0,2.6,12,15,113.3,2
"259","Ben Chiarot",26,1400000,59,2,-3.3,33,0,0,-8.2,31.3,45.5,206,2,10,3,12,42.9,8.5,1009,47.3,57.6,45.1,-2.5,1.8,6,97,56,45,0,2,2,65,69,111,37,12,72,0,0,612,742,445,552,100,114,0,0,0,0,101,0.04,133.1,33.3,80,-3.7,0,0,0,6985,1.98,13.1,92.6,12.4,0,1,19,111,3,15,18,1616.3,-28,0,0,0,6.1,23,9,80,0
"261","Kris Russell",30,4e+06,68,5,-2.9,23,0,1,8.4,54.9,75,304,1,11,2,12,28.9,7.6,1014,50.1,57.9,46.4,-2.4,3.2,6,148,95,63,3,11,14,49,63,100,48,34,165,0,0,1018,1174,760,788,173,166,0,1,0,1,1192,0.35,65.9,10.1,86.7,-4,0,0,0,9435,2.25,12.6,109.8,10.3,-1.4,2,35,209,8,43,51,4044.8,-42.2,7,23,30,484.6,59,8,274.2,3
"263","Chad Ruhwedel",27,650000,34,9,0.1,8,0,0,0,26.5,30.3,70,2,5,4,7,30.4,8.8,1027,54.4,57.5,48.6,-1,1.6,3,82,53,36,0,4,4,80,35,58,11,9,24,0,0,461,489,344,356,73,80,0,3,2,3,1927,1,79.5,10.4,88.5,3.5,0,0,0,2308,1.18,11.7,82.2,12.5,3.4,0,2,26,0,1,1,395.6,-44.2,0,1,1,19.3,2,2,24.7,1
"264","Deryk Engelland",35,1e+06,81,2,-11.7,85,0,2,-2.1,42.4,79.1,363,4,12,6,16,40,7.8,1004,48.5,55.6,46.6,-2.3,3.7,3,207,133,101,2,8,10,145.4,129,111,40,14,95,1,100,977,1119,718,834,118,166,0,0,0,0,125,0.07,16.7,16.7,50,-37,0,0,0,15674,3.09,12.5,92.8,11.9,-6.3,5,38,201,11,21,32,2666.9,-45.1,0,1,1,17.9,31,9,196.5,4
"267","Tim Heed",26,650000,1,0,0.2,0,0,0,0.1,0.7,0.3,2,0,0,0,0,0,0,1000,54.8,34.6,61.3,18.3,0,0,4,1,1,0,0,0,0,0,1,0,1,2,0,0,14,9,9,6,2,1,0,0,0,0,51,0.85,70.6,70.6,50,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"273","Erik Gudbranson",25,3500000,30,-14,-5.3,18,0,1,2.7,22,33.6,130,1,5,5,6,42.9,5.9,957,50.2,54.6,47.9,0.7,1.2,2,77,45,31,1,4,5,153,64,65,19,3,32,0,0,438,473,322,364,76,90,0,0,0,0,389,0.26,54.6,44,55.4,-25.7,0,0,0,4787,2.61,9.7,87.2,10,-7.8,0,12,205,9,17,26,3182.3,-6.9,0,5,5,131.6,53,39,491.2,1
"276","Yannick Weber",28,650000,73,1,-4.1,25,0,1,-4.7,30.3,35.8,151,1,7,5,8,23.5,8.3,1001,53.3,57.7,48,-2,2.4,2,145,93,70,2,3,5,109.4,71,93,26,9,51,0,0,746,808,544,592,83,107,0,0,0,0,718,0.17,51.5,23.4,68.8,-18.5,0,0,0,805,0.21,11.6,62.1,15.8,4.7,0,0,159,9,11,20,2143.7,-4,8,10,18,257.5,2,7,86.2,0
"277","Shayne Gostisbehere",24,4500000,76,-21,4.9,32,0,1,9.2,99.7,56,169,5,11,1,16,57.1,4.8,964,59.6,53.1,52.9,3.9,5.1,8,257,179,117,2,9,11,40.3,37,50,49,15,78,0,0,1127,1003,838,755,165,181,2,21,13,23,17458,3.65,126.8,12.9,90.7,5.6,0,0,0,328,0.11,15.9,23.8,40,31.7,0,1,66,9,15,24,973.7,-38.3,8,14,22,251.7,0,0,5,4
