First Name,Last Name,End Team,Pos,GP,PPG,PPA,PPP,54G,54A1,54A2,PPP/60,PPShot,PPMiss,PPBlkd,PPSh%,PPCoSH%,PPPass,PPBlk,PPHitF,PPHitA,PPGive,PPTake,PPTOI,PPTOI/G,54TOI,54TOI/G,54TOF,54TOF/G,PP%,PPIGP,PPIAP,PPIPP,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,TmPPSCF,TmPPSCA,PPSC%,PPRelSC%,PPPenT,PPPenD,PPCorsi,PPOZ%,PPRelOZ%
Karl,Stollery,SJS,D,10,0,0,0,0,0,0,0,0,0,1,0.00%,0.00%,0,0,0,0,0,0,0.7,0.07,1.6,0.16,48.8,4.88,3.10%,0.00%,0.00%,0.00%,,, ,2,0,0,0,0,0,0,3,3,0,19.3,100,0,0,300,,
Mark,Stone,OTT,RW,80,5,8,13,5,2,6,4.1,32,10,7,15.60%,10.20%,14,1,1,7,7,6,191.5,2.39,192.4,2.4,261.1,3.26,42.40%,20.80%,33.30%,54.20%,2,1,66.70%,24,3,146,34,146,34,9,94,166,35,-6.1,82.6,3,1,103.4,92,-2
Michael,Stone,ARI,D,81,0,5,5,0,5,0,3.3,27,12,16,0.00%,0.00%,37,1,3,1,2,0,89.6,1.11,85.5,1.06,284,3.51,23.10%,0.00%,41.70%,41.70%,,, ,12,0,77,8,77,8,3,40,83,11,5.1,88.3,0,1,125.2,86.2,-8
Clayton,Stoner,ANA,D,69,0,0,0,0,0,0,0,1,1,2,0.00%,0.00%,0,0,0,0,0,1,7.1,0.1,3.8,0.06,329,4.77,1.10%,0.00%,0.00%,0.00%,,, ,0,0,1,0,1,0,0,4,3,0,11,100,0,0,50.8,66.7,-25.8
Tyson,Strachan,BUF,D,46,0,0,0,0,0,0,0,0,1,0,0.00%,0.00%,0,0,0,0,0,0,5.4,0.12,5.8,0.13,192.5,4.18,2.90%,0.00%,0.00%,0.00%,,, ,0,0,2,2,2,2,1,1,1,2,-47.8,33.3,0,0,0,75,-14.8
Brian,Strait,NYI,D,52,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,2.7,0.05,3.1,0.06,256.4,4.93,1.20%,0.00%,0.00%,0.00%,,, ,0,0,1,0,1,0,0,0,1,0,11.5,100,1,0,44.4,83.3,-12.9
Petr,Straka,PHI,RW,3,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,10.5,3.51,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Anton,Stralman,TBL,D,82,2,12,14,2,6,6,4.1,13,3,17,15.40%,6.10%,32,2,2,5,9,1,203.3,2.48,190.3,2.32,259.1,3.16,42.30%,9.10%,54.50%,63.60%,,, ,22,3,95,20,95,20,3,66,132,26,-1.8,83.5,1,1,68.5,97.5,5.4
Ben,Street,COL,C,3,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,13.9,4.63,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Mark,Streit,PHI,D,81,4,26,30,4,16,10,6.2,49,18,52,8.20%,3.40%,99,6,5,2,5,2,290.7,3.59,287.5,3.55,117.7,1.45,71.00%,8.30%,54.20%,62.50%,,, ,48,4,248,50,248,50,7,163,315,40,5.9,88.7,0,0,123,96.6,11.4
