PLAYER,AGE,POS,TEAM,DATE,TYPE,LENGTH,VALUE,CAP HIT
Rudolfs Balcers,20,LW,,13-Jul-17,Entry-Level,3,"$2,775,000","$759,167"
Michael Chaput,25,C,,13-Jul-17,Standard,1,"$687,500","$687,500"
Jaccob Slavin,23,D,,12-Jul-17,Standard,7,"$37,100,000","$5,300,000"
Joey LaLeggia,25,D,,12-Jul-17,Standard,1,"$700,000","$700,000"
Derrick Pouliot,23,D,,12-Jul-17,Standard,1,"$800,000","$800,000"
Josh Archibald,24,RW,,12-Jul-17,Standard,2,"$1,350,000","$675,000"
Evan McEneny,23,D,,12-Jul-17,Standard,2,"$1,315,000","$657,500"
Andrew Copp,23,C,,12-Jul-17,Standard,2,"$2,000,000","$1,000,000"
Timothy Liljegren,18,D,,12-Jul-17,Entry-Level,3,"$3,975,000","$925,000"
Wayne Simpson,27,RW,,11-Jul-17,Standard,1,"$650,000","$650,000"
Gemel Smith,23,C,,11-Jul-17,Standard,1,"$650,000","$650,000"
Scott Laughton,23,C,,11-Jul-17,Standard,2,"$1,925,000","$962,500"
Patrick Sieloff,23,D,,11-Jul-17,Standard,1,"$650,000","$650,000"
Kristers Gudlevskis,24,G,,11-Jul-17,Standard,1,"$650,000","$650,000"
Zack Mitchell,24,RW,,10-Jul-17,Standard,1,"$660,000","$660,000"
Tyler Johnson,26,C,,10-Jul-17,Standard,7,"$35,000,000","$5,000,000"
Radek Faksa,23,C,,10-Jul-17,Standard,3,"$6,600,000","$2,200,000"
Steve Michalek,23,G,,10-Jul-17,Standard,1,"$715,000","$715,000"
Chris Tierney,23,C,,10-Jul-17,Standard,1,"$735,000","$735,000"
Brandon Tanev,25,"C, LW, RW",,10-Jul-17,Standard,1,"$700,000","$700,000"
Yohann Auvitu,27,"D, LW",,10-Jul-17,Standard,1,"$700,000","$700,000"
Alex Dostie,20,C,,8-Jul-17,Entry-Level,3,"$2,775,000","$759,167"
Johan Larsson,24,"C, LW",,8-Jul-17,Standard,2,"$2,950,000","$1,475,000"
Miro Heiskanen,17,D,,8-Jul-17,Entry-Level,3,"$10,275,000","$925,000"
Jussi Jokinen,34,"LW, RW, C",,7-Jul-17,Standard,1,"$1,100,000","$1,100,000"
Dennis Rasmussen,27,C,,7-Jul-17,Standard,1,"$725,000","$725,000"
Kurtis Gabriel,24,RW,,7-Jul-17,Standard,1,"$715,000","$715,000"
Joseph Labate,24,LW,,7-Jul-17,Standard,1,"$650,000","$650,000"
Brett Ritchie,24,RW,,6-Jul-17,Standard,2,"$3,500,000","$1,750,000"
Charlie Lindgren,23,G,,6-Jul-17,Standard,1,"$700,000","$700,000"
Mark Pysyk,25,D,,6-Jul-17,Standard,3,"$8,200,000","$2,733,333"
Adam Johnson,23,"C, LW",,6-Jul-17,Entry-Level,2,"$1,850,000","$925,000"
