First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,SHBlkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBF,TmSHBA,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Evgeni,Malkin,PIT,C,69,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,3,0,1,6.3,0.09,4,0.06,392.5,5.69,1.00%,1,2,33.30%,0,0,2,0,0,0,1,0,2,1,66.70%,55.67,0,0,14.9,75,70.3
Brad,Malone,CAR,C,65,0,0,0,0,0,0,0,0,1,0,0.00%,0.00%,2,6,2,3,2,24.6,0.38,26.4,0.41,237.2,3.65,10.00%,2,0,100.00%,0,5,3,17,0,11,11,1,2,23,8.00%,-5.44,1,0,-90.9,5.6,0.8
Ryan,Malone,NYR,LW,6,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,42.9,7.16,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Brandon,Manning,PHI,D,11,0,0,0,0,0,0,0,1,1,0,0.00%,0.00%,2,4,0,1,0,28.3,2.57,24.1,2.19,59.9,5.45,28.70%,,, ,1,4,1,13,2,12,14,0,3,15,16.70%,14.54,0,0,-97.2,14.3,10.4
Josh,Manson,ANA,D,28,0,0,0,0,0,0,0,0,1,0,0.00%,0.00%,1,2,1,1,0,44,1.57,40.1,1.43,109.2,3.9,26.90%,,, ,0,4,9,32,5,11,10,1,8,30,21.10%,-0.73,0,0,-62.8,17.1,12.1
Brad,Marchand,BOS,LW/C,77,2,1,3,2,1,0,7,10,1,3,20.00%,14.30%,8,6,6,1,10,106.8,1.39,115.1,1.49,255,3.31,31.10%,1,1,50.00%,3,13,19,62,8,31,36,7,19,76,20.00%,6.22,1,2,-54.7,7.4,-5.4
Alexey,Marchenko,DET,D,13,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,2,2,0,0,0,9.5,0.73,9.2,0.71,61.4,4.72,13.00%,,, ,0,0,2,4,1,6,7,0,3,6,33.30%,26.98,0,0,-91.5,0,-4.8
Jonathan,Marchessault,TBL,C,2,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,8.6,4.31,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Martin,Marincin,EDM,D,41,0,0,0,0,0,0,0,1,2,0,0.00%,0.00%,12,2,0,5,2,70.4,1.72,69.5,1.69,98,2.39,41.50%,,, ,1,10,6,53,7,20,30,2,10,52,16.10%,2.94,1,0,-83.8,0,-3.8
Andrei,Markov,MTL,D,81,0,1,1,0,0,1,0,1,2,1,0.00%,0.00%,17,5,5,14,6,203.2,2.51,194.8,2.41,224.1,2.77,46.50%,,, ,2,19,27,140,9,67,74,5,25,155,13.90%,1.8,1,1,-79.1,6.3,0.7
Patrick,Marleau,SJS,LW/C,82,0,0,0,0,0,0,0,7,4,1,0.00%,0.00%,7,1,0,2,8,115,1.4,114,1.39,240.3,2.93,32.20%,16,18,47.10%,0,17,18,83,5,42,49,4,14,81,14.70%,-2,1,0,-86.3,8.4,-0.4
Patrick,Maroon,ANA,LW,71,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.5,0.01,0.5,0.01,363,5.11,0.10%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,50,41.6
Matt,Martin,NYI,LW,78,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,3.7,0.05,3.2,0.04,320.8,4.11,1.00%,0,0, ,0,0,2,2,0,0,0,0,2,2,50.00%,35.29,1,4,0,100,93.4
Paul,Martin,PIT,D,74,0,0,0,0,0,0,0,2,0,1,0.00%,0.00%,29,6,3,4,2,191.8,2.59,178.9,2.42,226,3.05,44.20%,,, ,4,18,28,151,3,61,73,1,21,145,12.70%,4.52,2,1,-89.6,5.8,0.2
